k,subset,C,C_lo,C_hi,dC,dC_lo,dC_hi,vsNoise,vsN_lo,vsN_hi
3,KLm+KLt+SLF,0.7121707682221394,0.6748157337281931,0.735839084065396,0.029702498580215786,0.010607818968931097,0.04925036990798739,0.02859885542705719,0.0039036301068247517,0.05404888607449125
4,KLm+KLt+SLF+StT,0.711130105607245,0.6771115419211805,0.7350955095421675,0.028661835965321424,0.010534663217486948,0.053061098425409195,0.03359509327964107,0.001024080909729802,0.06022010673837016
3,KLm+KLt+StT,0.7106131589885316,0.6768893831712987,0.7323181381645081,0.02814488934660797,0.0012258246986733058,0.050558160349084655,0.027041246193449376,-0.0015969017854229246,0.05343976916169095
4,KLm+KLt+ImT+StT,0.709760610063195,0.6862646402650153,0.7406379505202461,0.027292340421271398,0.011718717808133142,0.04596556336495681,0.03222559773559104,0.007197905390082438,0.05979301692425515
4,KLm+SLF+ImT+StT,0.7095900517600647,0.6872928702552955,0.7429473017027126,0.027121782118141202,0.007556746399890046,0.05070527549682106,0.03205503943246084,0.00407436084282555,0.0645327290561194
2,KLm+KLt,0.7088132699773674,0.6807294026102796,0.728580176493655,0.02634500033544378,0.008463675256397036,0.04003321816716196,0.02369429192623701,0.0042822048809081446,0.03745533674000783
4,KLm+KLt+SLF+ImT,0.7074119103290961,0.677933814463152,0.7361963706310806,0.024943640687172575,0.007392446828787089,0.05023533431195328,0.029876898001492215,-0.0015628589706809968,0.05886332013503831
2,KLm+StT,0.7071722452489825,0.6854627900415996,0.7191703554963261,0.02470397560705879,0.007533299440357047,0.03700280431464372,0.02205326719785202,0.0016768953539710307,0.03262956706849692
5,KLm+KLt+SLF+ImT+StT,0.7061047191679942,0.6766604566267819,0.7369717457127221,0.023636449526070736,0.005469651957789692,0.04611468842529077,0.009222623760472582,-0.011916157972028973,0.032908356530874906
3,KLm+ImT+StT,0.7059267421818216,0.6705528430989154,0.7276867301731202,0.02345847253989799,0.002053963206165227,0.043963344494897826,0.022354829386739394,-0.001607518770285568,0.04913002112787492
3,KLm+KLt+ImT,0.7059126966911293,0.6752387102650893,0.7240688153394448,0.02344442704920565,-0.0025113230272845928,0.04452665562138259,0.022340783896047055,-0.005502761086766436,0.05011051896388121
3,KLm+SLF+StT,0.7056374352594308,0.6739215491114475,0.7291003851027787,0.023169165617507183,0.0011652921353913354,0.05094067089819199,0.022065522464348584,-0.006439188940294998,0.055639064653741646
3,KLm+SLF+ImT,0.7048500909940414,0.6749009461140207,0.7272181715100932,0.022381821352117658,-0.001595404179910559,0.04831032675206957,0.021278178198959063,0.000836160066839467,0.05262649930133602
2,KLm+ImT,0.7039175806114957,0.6775846046774355,0.7230429120576045,0.021449310969572078,0.004938844249538696,0.038485547122586575,0.018798602560365307,-0.003367119467643825,0.03533143240972643
1,KLm,0.7032508176686394,0.6739743880343341,0.7296312896141646,0.020782548026715763,0.0025070482916500574,0.03755125595004885,0.021291826586626973,-0.0003538848064430888,0.03722612828342134
2,KLm+SLF,0.7030393696965219,0.6690696836397989,0.7252994674913449,0.020571100054598147,0.0061478709059991365,0.03655289663408032,0.017920391645391377,5.625866456345223e-05,0.03562570157304302
4,KLt+SLF+ImT+StT,0.6972327220424526,0.6704751851033077,0.7321682878717293,0.014764452400528982,-0.010806163593254892,0.04165314473654689,0.019697709714848622,-0.014345139827048048,0.05548059829584522
3,KLt+ImT+StT,0.6942694878901834,0.6689439550447992,0.7186378760222485,0.011801218248259837,-0.004995249507544516,0.02136638956082358,0.010697575095101242,-0.006377734296721654,0.027496088513330956
2,ImT+StT,0.6938272813175271,0.6680928891186768,0.7144674116022155,0.011359011675603492,-0.0076843183888336605,0.024080568690323628,0.008708303266396721,-0.009722108642209265,0.024916525630767367
2,KLt+StT,0.6929538791835658,0.6721427437861804,0.715159323844902,0.010485609541642094,-0.004624798407586169,0.022339520381483582,0.007834901132435323,-0.006349338109779912,0.02283131973107653
2,KLt+ImT,0.6920147760065395,0.6685665254875589,0.7151718830731698,0.009546506364615914,-0.001897059960913458,0.014731754926737395,0.0068957979554091445,-0.0026929315972523318,0.01796076873296011
3,SLF+ImT+StT,0.6915475397246396,0.6690388894098034,0.7128657765823858,0.009079270082715963,-0.010506300924204811,0.026191806722188887,0.007975626929557366,-0.01979550945083186,0.03366509533422738
3,KLt+SLF+ImT,0.691374322081857,0.6614757303823036,0.715068009863896,0.008906052439933332,-0.009121833109628524,0.028492259241314755,0.0078024092867747365,-0.01855707423966866,0.03256211228730514
1,ImT,0.6901357529480269,0.6656278738093524,0.7289017950232805,0.007667483306103262,-0.013338312711851093,0.024337990956564397,0.00817676186601447,-0.005293349163496544,0.017259528380587554
1,KLt,0.6901242398581114,0.6663080561148375,0.7219016221644363,0.007655970216187813,-0.012630776100414904,0.018264844999020757,0.008165248776099022,-0.0037043841864975308,0.019711706504591094
1,StT,0.6885651504869665,0.6586590975995296,0.7188433868313268,0.006096880845042907,-0.008196116491508457,0.01469500580012457,0.006606159404954115,-0.007872252365597961,0.018689388506534947
3,KLt+SLF+StT,0.688026071105282,0.6603434974154849,0.7122720156448549,0.005557801463358348,-0.0153902601250771,0.021412430728096683,0.004454158310199752,-0.01419723435946003,0.027394246773147127
2,SLF+ImT,0.6867788399807031,0.6632724463446602,0.702533535884471,0.0043105703387795735,-0.01317081523404633,0.02097856399988558,0.0016598619295728034,-0.016775730838891115,0.01639043540297593
2,SLF+StT,0.6863016605133276,0.661746048503211,0.7027233287038362,0.0038333908714040855,-0.013675939718290736,0.029352787988674578,0.0011826824621973154,-0.01992620539018594,0.023798231549027035
2,KLt+SLF,0.6833783592049463,0.647519419249569,0.7116170193715533,0.0009100895630226979,-0.01335423465963192,0.0182027034972338,-0.0017406188461840722,-0.020340494794725453,0.020203158011357334
1,SLF,0.6765162162813148,0.6498990794576062,0.7160820349127113,-0.005952053360608722,-0.024600905776222124,0.009167893508708835,-0.005442774800697514,-0.01703926857722317,0.007414731179890621
